size,sizeUSD,spreadBps,priceImpactBps,grossProfit,totalCosts,netProfit,netProfitBps,profitable
80000,80000.00,155.5,2.7,1244.0287,493.4863,750.5424,93.8,true
5000,5000.00,162.7,0.7,81.3350,29.8554,51.4796,103.0,true
10000,10000.00,215.1,0.9,215.1242,59.9687,155.1556,155.2,true
20000,20000.00,170.5,1.3,340.9732,120.7033,220.2699,110.1,true
40000,40000.00,289.3,1.9,1157.2237,243.6095,913.6142,228.4,true
80000,80000.00,281.2,2.7,2249.8945,493.4863,1756.4082,219.6,true
5000,5000.00,356.3,0.7,178.1478,29.8554,148.2924,296.6,true
10000,10000.00,173.0,0.9,173.0074,59.9687,113.0388,113.0,true
20000,20000.00,332.7,1.3,665.3797,120.7033,544.6764,272.3,true
40000,40000.00,176.5,1.9,705.9598,243.6095,462.3504,115.6,true
80000,80000.00,190.5,2.7,1523.9617,493.4863,1030.4754,128.8,true
5000,5000.00,250.3,0.7,125.1277,29.8554,95.2723,190.5,true
10000,10000.00,249.3,0.9,249.3170,59.9687,189.3483,189.3,true
20000,20000.00,204.7,1.3,409.4076,120.7033,288.7043,144.4,true
40000,40000.00,115.2,1.9,460.7453,243.6095,217.1358,54.3,false
80000,80000.00,203.8,2.7,1630.7251,493.4863,1137.2388,142.2,true
5000,5000.00,67.2,0.7,33.5909,29.8554,3.7355,7.5,false
10000,10000.00,368.4,0.9,368.3610,59.9687,308.3923,308.4,true
20000,20000.00,120.2,1.3,240.4328,120.7033,119.7295,59.9,false
40000,40000.00,105.2,1.9,420.8275,243.6095,177.2180,44.3,false
80000,80000.00,228.9,2.7,1831.5606,493.4863,1338.0743,167.3,true
5000,5000.00,121.4,0.7,60.7017,29.8554,30.8463,61.7,false
10000,10000.00,164.4,0.9,164.4175,59.9687,104.4488,104.4,true
20000,20000.00,164.8,1.3,329.6595,120.7033,208.9562,104.5,true
40000,40000.00,209.9,1.9,839.5748,243.6095,595.9653,149.0,true
80000,80000.00,229.5,2.7,1835.8845,493.4863,1342.3982,167.8,true
5000,5000.00,131.8,0.7,65.8903,29.8554,36.0349,72.1,false
10000,10000.00,237.2,0.9,237.1991,59.9687,177.2304,177.2,true
20000,20000.00,294.2,1.3,588.3292,120.7033,467.6259,233.8,true
40000,40000.00,176.2,1.9,704.7114,243.6095,461.1019,115.3,true
80000,80000.00,178.2,2.7,1425.4596,493.4863,931.9734,116.5,true
5000,5000.00,144.9,0.7,72.4455,29.8554,42.5901,85.2,true
10000,10000.00,331.3,0.9,331.3111,59.9687,271.3424,271.3,true
20000,20000.00,242.1,1.3,484.2984,120.7033,363.5951,181.8,true
40000,40000.00,273.9,1.9,1095.5890,243.6095,851.9795,213.0,true
80000,80000.00,274.8,2.7,2198.6799,493.4863,1705.1937,213.1,true
5000,5000.00,120.6,0.7,60.3026,29.8554,30.4472,60.9,false
10000,10000.00,295.4,0.9,295.4224,59.9687,235.4538,235.5,true
20000,20000.00,204.2,1.3,408.3521,120.7033,287.6488,143.8,true
40000,40000.00,264.8,1.9,1059.0239,243.6095,815.4144,203.9,true
80000,80000.00,241.0,2.7,1928.3435,493.4863,1434.8572,179.4,true
5000,5000.00,245.3,0.7,122.6498,29.8554,92.7944,185.6,true
10000,10000.00,195.6,0.9,195.6403,59.9687,135.6716,135.7,true
20000,20000.00,253.8,1.3,507.6821,120.7033,386.9788,193.5,true
40000,40000.00,304.6,1.9,1218.5479,243.6095,974.9384,243.7,true
80000,80000.00,226.0,2.7,1807.6163,493.4863,1314.1301,164.3,true
5000,5000.00,260.7,0.7,130.3562,29.8554,100.5008,201.0,true
10000,10000.00,257.2,0.9,257.2089,59.9687,197.2403,197.2,true
20000,20000.00,172.5,1.3,345.0013,120.7033,224.2980,112.1,true
40000,40000.00,257.3,1.9,1029.3412,243.6095,785.7318,196.4,true
80000,80000.00,215.1,2.7,1721.0002,493.4863,1227.5139,153.4,true
5000,5000.00,175.1,0.7,87.5718,29.8554,57.7164,115.4,true
10000,10000.00,248.9,0.9,248.8940,59.9687,188.9253,188.9,true
20000,20000.00,90.0,1.3,180.0273,120.7033,59.3240,29.7,false
40000,40000.00,270.6,1.9,1082.2029,243.6095,838.5934,209.6,true
80000,80000.00,154.1,2.7,1233.1198,493.4863,739.6335,92.5,true
5000,5000.00,327.0,0.7,163.4803,29.8554,133.6249,267.2,true
10000,10000.00,201.0,0.9,201.0323,59.9687,141.0636,141.1,true
20000,20000.00,143.5,1.3,286.9583,120.7033,166.2551,83.1,true
40000,40000.00,210.1,1.9,840.3065,243.6095,596.6971,149.2,true
80000,80000.00,226.0,2.7,1807.7682,493.4863,1314.2820,164.3,true
5000,5000.00,35.5,0.7,17.7734,29.8554,-12.0820,-24.2,false
10000,10000.00,251.9,0.9,251.9366,59.9687,191.9679,192.0,true
20000,20000.00,97.3,1.3,194.6835,120.7033,73.9802,37.0,false
40000,40000.00,100.1,1.9,400.5639,243.6095,156.9544,39.2,false
80000,80000.00,198.9,2.7,1591.1071,493.4863,1097.6208,137.2,true
5000,5000.00,247.0,0.7,123.5193,29.8554,93.6639,187.3,true
10000,10000.00,204.2,0.9,204.1639,59.9687,144.1953,144.2,true
20000,20000.00,166.4,1.3,332.8148,120.7033,212.1116,106.1,true
40000,40000.00,143.8,1.9,575.1365,243.6095,331.5270,82.9,true
80000,80000.00,159.8,2.7,1278.1002,493.4863,784.6140,98.1,true
5000,5000.00,195.3,0.7,97.6288,29.8554,67.7734,135.5,true
10000,10000.00,244.7,0.9,244.7184,59.9687,184.7497,184.7,true
20000,20000.00,188.2,1.3,376.4310,120.7033,255.7277,127.9,true
40000,40000.00,287.8,1.9,1151.1105,243.6095,907.5010,226.9,true
80000,80000.00,109.9,2.7,879.5576,493.4863,386.0714,48.3,false
5000,5000.00,284.9,0.7,142.4464,29.8554,112.5910,225.2,true
10000,10000.00,148.4,0.9,148.3735,59.9687,88.4048,88.4,true
20000,20000.00,152.8,1.3,305.6186,120.7033,184.9154,92.5,true
40000,40000.00,192.8,1.9,771.3913,243.6095,527.7818,131.9,true
80000,80000.00,127.8,2.7,1022.0542,493.4863,528.5679,66.1,false
5000,5000.00,157.3,0.7,78.6404,29.8554,48.7850,97.6,true
10000,10000.00,202.6,0.9,202.6366,59.9687,142.6679,142.7,true
20000,20000.00,208.6,1.3,417.2940,120.7033,296.5907,148.3,true
40000,40000.00,139.4,1.9,557.7864,243.6095,314.1769,78.5,true
80000,80000.00,181.1,2.7,1448.4152,493.4863,954.9290,119.4,true
5000,5000.00,167.0,0.7,83.5064,29.8554,53.6509,107.3,true
10000,10000.00,76.4,0.9,76.3727,59.9687,16.4040,16.4,false
20000,20000.00,269.5,1.3,538.9208,120.7033,418.2176,209.1,true
40000,40000.00,210.1,1.9,840.4475,243.6095,596.8380,149.2,true
80000,80000.00,154.8,2.7,1238.4312,493.4863,744.9449,93.1,true
5000,5000.00,322.7,0.7,161.3442,29.8554,131.4888,263.0,true
10000,10000.00,259.1,0.9,259.0869,59.9687,199.1183,199.1,true
20000,20000.00,129.2,1.3,258.3793,120.7033,137.6761,68.8,false
40000,40000.00,161.4,1.9,645.7490,243.6095,402.1395,100.5,true
80000,80000.00,313.6,2.7,2508.4771,493.4863,2014.9909,251.9,true
5000,5000.00,292.1,0.7,146.0602,29.8554,116.2048,232.4,true
10000,10000.00,204.6,0.9,204.5520,59.9687,144.5833,144.6,true
20000,20000.00,113.2,1.3,226.3728,120.7033,105.6695,52.8,false
40000,40000.00,128.5,1.9,514.0664,243.6095,270.4570,67.6,false
80000,80000.00,231.1,2.7,1848.7494,493.4863,1355.2631,169.4,true
5000,5000.00,41.1,0.7,20.5575,29.8554,-9.2979,-18.6,false
10000,10000.00,177.7,0.9,177.7113,59.9687,117.7427,117.7,true
20000,20000.00,36.5,1.3,72.9383,120.7033,-47.7650,-23.9,false
40000,40000.00,130.9,1.9,523.6468,243.6095,280.0373,70.0,false
80000,80000.00,201.8,2.7,1614.5819,493.4863,1121.0957,140.1,true
5000,5000.00,136.8,0.7,68.3940,29.8554,38.5386,77.1,true
10000,10000.00,354.7,0.9,354.7495,59.9687,294.7808,294.8,true
20000,20000.00,271.4,1.3,542.8494,120.7033,422.1461,211.1,true
40000,40000.00,210.3,1.9,841.2672,243.6095,597.6577,149.4,true
80000,80000.00,96.9,2.7,775.2321,493.4863,281.7459,35.2,false
5000,5000.00,175.4,0.7,87.6864,29.8554,57.8309,115.7,true
10000,10000.00,181.5,0.9,181.4653,59.9687,121.4966,121.5,true
20000,20000.00,225.2,1.3,450.4752,120.7033,329.7719,164.9,true
40000,40000.00,211.0,1.9,844.1625,243.6095,600.5530,150.1,true
80000,80000.00,165.9,2.7,1327.5059,493.4863,834.0197,104.3,true
5000,5000.00,56.1,0.7,28.0419,29.8554,-1.8135,-3.6,false
10000,10000.00,139.0,0.9,139.0376,59.9687,79.0690,79.1,true
20000,20000.00,141.4,1.3,282.8168,120.7033,162.1135,81.1,true
40000,40000.00,270.5,1.9,1082.1721,243.6095,838.5626,209.6,true
80000,80000.00,22.3,2.7,178.4427,493.4863,-315.0435,-39.4,false
5000,5000.00,295.1,0.7,147.5750,29.8554,117.7196,235.4,true
10000,10000.00,291.9,0.9,291.8805,59.9687,231.9118,231.9,true
20000,20000.00,95.2,1.3,190.4280,120.7033,69.7247,34.9,false
40000,40000.00,320.0,1.9,1279.9178,243.6095,1036.3083,259.1,true
80000,80000.00,297.0,2.7,2376.0946,493.4863,1882.6083,235.3,true
5000,5000.00,174.1,0.7,87.0746,29.8554,57.2192,114.4,true
10000,10000.00,290.3,0.9,290.3249,59.9687,230.3562,230.4,true
20000,20000.00,209.0,1.3,418.0776,120.7033,297.3743,148.7,true
40000,40000.00,227.2,1.9,908.7956,243.6095,665.1862,166.3,true
80000,80000.00,170.7,2.7,1365.3327,493.4863,871.8464,109.0,true
5000,5000.00,167.5,0.7,83.7275,29.8554,53.8721,107.7,true
10000,10000.00,224.9,0.9,224.9234,59.9687,164.9547,165.0,true
20000,20000.00,183.7,1.3,367.3248,120.7033,246.6215,123.3,true
40000,40000.00,129.9,1.9,519.7255,243.6095,276.1161,69.0,false
80000,80000.00,242.3,2.7,1938.2893,493.4863,1444.8031,180.6,true
5000,5000.00,119.7,0.7,59.8265,29.8554,29.9711,59.9,false
10000,10000.00,238.3,0.9,238.2797,59.9687,178.3110,178.3,true
20000,20000.00,187.6,1.3,375.2848,120.7033,254.5815,127.3,true
40000,40000.00,207.8,1.9,831.1603,243.6095,587.5508,146.9,true
80000,80000.00,268.0,2.7,2143.6261,493.4863,1650.1399,206.3,true
5000,5000.00,230.8,0.7,115.4161,29.8554,85.5607,171.1,true
10000,10000.00,155.7,0.9,155.6710,59.9687,95.7023,95.7,true
20000,20000.00,143.8,1.3,287.6730,120.7033,166.9697,83.5,true
40000,40000.00,171.2,1.9,684.8283,243.6095,441.2189,110.3,true
80000,80000.00,243.6,2.7,1948.5473,493.4863,1455.0611,181.9,true
5000,5000.00,230.8,0.7,115.4144,29.8554,85.5590,171.1,true
10000,10000.00,225.6,0.9,225.6203,59.9687,165.6516,165.7,true
20000,20000.00,126.5,1.3,253.0851,120.7033,132.3819,66.2,false
40000,40000.00,76.7,1.9,306.7970,243.6095,63.1875,15.8,false
80000,80000.00,328.7,2.7,2629.8613,493.4863,2136.3751,267.0,true
5000,5000.00,300.9,0.7,150.4546,29.8554,120.5992,241.2,true
10000,10000.00,248.2,0.9,248.2222,59.9687,188.2535,188.3,true
20000,20000.00,176.5,1.3,352.9042,120.7033,232.2009,116.1,true
40000,40000.00,343.4,1.9,1373.6453,243.6095,1130.0358,282.5,true
80000,80000.00,247.5,2.7,1979.6129,493.4863,1486.1267,185.8,true
5000,5000.00,156.6,0.7,78.3189,29.8554,48.4635,96.9,true
10000,10000.00,279.5,0.9,279.4550,59.9687,219.4863,219.5,true
20000,20000.00,239.1,1.3,478.2903,120.7033,357.5870,178.8,true
40000,40000.00,272.0,1.9,1088.0279,243.6095,844.4184,211.1,true
80000,80000.00,88.8,2.7,710.4756,493.4863,216.9894,27.1,false
5000,5000.00,247.3,0.7,123.6744,29.8554,93.8190,187.6,true
10000,10000.00,171.2,0.9,171.1665,59.9687,111.1979,111.2,true
20000,20000.00,290.0,1.3,579.9771,120.7033,459.2738,229.6,true
40000,40000.00,218.3,1.9,873.0213,243.6095,629.4118,157.4,true
80000,80000.00,182.7,2.7,1461.8512,493.4863,968.3650,121.0,true
5000,5000.00,77.5,0.7,38.7589,29.8554,8.9035,17.8,false
10000,10000.00,98.5,0.9,98.5464,59.9687,38.5778,38.6,false
20000,20000.00,263.4,1.3,526.8578,120.7033,406.1545,203.1,true
40000,40000.00,132.2,1.9,528.7138,243.6095,285.1043,71.3,false
80000,80000.00,219.4,2.7,1754.9280,493.4863,1261.4417,157.7,true
5000,5000.00,303.6,0.7,151.7917,29.8554,121.9363,243.9,true
10000,10000.00,246.1,0.9,246.0616,59.9687,186.0929,186.1,true
20000,20000.00,280.7,1.3,561.3130,120.7033,440.6097,220.3,true
40000,40000.00,277.0,1.9,1108.0988,243.6095,864.4893,216.1,true
80000,80000.00,308.9,2.7,2470.9417,493.4863,1977.4554,247.2,true
5000,5000.00,173.0,0.7,86.5211,29.8554,56.6657,113.3,true
10000,10000.00,291.7,0.9,291.7113,59.9687,231.7426,231.7,true
20000,20000.00,209.9,1.3,419.7016,120.7033,298.9983,149.5,true
40000,40000.00,221.0,1.9,884.0487,243.6095,640.4392,160.1,true
80000,80000.00,345.9,2.7,2767.1299,493.4863,2273.6437,284.2,true
5000,5000.00,200.9,0.7,100.4702,29.8554,70.6148,141.2,true
10000,10000.00,237.1,0.9,237.1336,59.9687,177.1649,177.2,true
20000,20000.00,316.7,1.3,633.4931,120.7033,512.7898,256.4,true
40000,40000.00,230.8,1.9,923.0451,243.6095,679.4357,169.9,true
80000,80000.00,188.5,2.7,1508.3923,493.4863,1014.9060,126.9,true
5000,5000.00,261.0,0.7,130.4926,29.8554,100.6372,201.3,true
10000,10000.00,167.0,0.9,167.0333,59.9687,107.0647,107.1,true
20000,20000.00,181.6,1.3,363.2209,120.7033,242.5176,121.3,true
40000,40000.00,341.7,1.9,1366.7277,243.6095,1123.1182,280.8,true
80000,80000.00,314.1,2.7,2513.1406,493.4863,2019.6543,252.5,true
5000,5000.00,287.5,0.7,143.7435,29.8554,113.8881,227.8,true
10000,10000.00,137.5,0.9,137.5443,59.9687,77.5756,77.6,true
20000,20000.00,175.4,1.3,350.8781,120.7033,230.1748,115.1,true
40000,40000.00,240.2,1.9,960.9321,243.6095,717.3226,179.3,true
80000,80000.00,231.6,2.7,1852.7803,493.4863,1359.2940,169.9,true
5000,5000.00,94.9,0.7,47.4515,29.8554,17.5961,35.2,false
10000,10000.00,196.3,0.9,196.3149,59.9687,136.3462,136.3,true
20000,20000.00,210.0,1.3,419.9328,120.7033,299.2295,149.6,true
40000,40000.00,245.2,1.9,980.6775,243.6095,737.0681,184.3,true
80000,80000.00,104.8,2.7,838.7675,493.4863,345.2813,43.2,false
5000,5000.00,203.0,0.7,101.4909,29.8554,71.6355,143.3,true
10000,10000.00,251.5,0.9,251.4572,59.9687,191.4885,191.5,true
20000,20000.00,106.3,1.3,212.5876,120.7033,91.8844,45.9,false
40000,40000.00,219.6,1.9,878.2147,243.6095,634.6053,158.7,true
80000,80000.00,192.4,2.7,1539.3073,493.4863,1045.8210,130.7,true
5000,5000.00,188.0,0.7,93.9969,29.8554,64.1415,128.3,true
10000,10000.00,138.7,0.9,138.6534,59.9687,78.6847,78.7,true
20000,20000.00,347.1,1.3,694.1758,120.7033,573.4725,286.7,true
40000,40000.00,206.3,1.9,825.2009,243.6095,581.5914,145.4,true
80000,80000.00,60.4,2.7,483.3227,493.4863,-10.1636,-1.3,false
5000,5000.00,231.9,0.7,115.9737,29.8554,86.1183,172.2,true
10000,10000.00,199.2,0.9,199.1726,59.9687,139.2039,139.2,true
20000,20000.00,139.7,1.3,279.4793,120.7033,158.7760,79.4,true
40000,40000.00,220.6,1.9,882.5086,243.6095,638.8992,159.7,true
80000,80000.00,197.8,2.7,1582.1803,493.4863,1088.6941,136.1,true
5000,5000.00,161.4,0.7,80.6822,29.8554,50.8268,101.7,true
10000,10000.00,108.1,0.9,108.0998,59.9687,48.1311,48.1,false
20000,20000.00,113.4,1.3,226.8803,120.7033,106.1770,53.1,false
40000,40000.00,178.5,1.9,714.1774,243.6095,470.5679,117.6,true
80000,80000.00,300.9,2.7,2406.8346,493.4863,1913.3484,239.2,true
5000,5000.00,226.3,0.7,113.1490,29.8554,83.2936,166.6,true
10000,10000.00,174.5,0.9,174.5045,59.9687,114.5359,114.5,true
20000,20000.00,316.3,1.3,632.6970,120.7033,511.9937,256.0,true
40000,40000.00,285.0,1.9,1139.9013,243.6095,896.2919,224.1,true
80000,80000.00,334.4,2.7,2675.2033,493.4863,2181.7171,272.7,true
5000,5000.00,308.9,0.7,154.4508,29.8554,124.5954,249.2,true
10000,10000.00,270.2,0.9,270.2251,59.9687,210.2564,210.3,true
20000,20000.00,153.5,1.3,307.0360,120.7033,186.3327,93.2,true
40000,40000.00,223.5,1.9,894.0846,243.6095,650.4752,162.6,true
80000,80000.00,178.3,2.7,1426.7985,493.4863,933.3123,116.7,true
5000,5000.00,297.2,0.7,148.5889,29.8554,118.7334,237.5,true
